{1=6.103079720441789, 2=5.5254597030944925, 3=5.3795370176032735, 4=5.243207342092249, 5=5.151189687058975}
,,,,
,,,,
,,,,
,,,,
K,Fingerprint median distance,Model median distance,,
1,3.698121326,6.10307972,,
2,3.399435017,5.525459703,,
3,3.488895593,5.379537018,,
4,3.248346605,5.243207342,,
5,3.306797537,5.151189687,,
