True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-22.9, -10.75, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-22.0, -10.75, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-22.9, -10.75, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-22.0, -10.75, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-22.9, -10.75, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-20.5, -10.75, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-19.6, -10.75, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-11.5, -10.75, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-9.1, -11.65, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-9.1, -11.65, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-9.1, -11.65, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-9.1, -11.65, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-9.1, -11.65, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-9.1, -11.65, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-9.1, -11.65, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-8.5, -10.75, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-4.9, -12.85, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-4.9, -12.85, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-4.9, -12.85, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-4.9, -12.85, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-4.9, -12.85, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-4.9, -12.85, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-4.9, -12.85, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-4.9, -12.85, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-4.9, -12.85, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-4.9, -12.85, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-4.9, -12.85, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-4.9, -12.85, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-14.5, -11.35, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-4.9, -12.85, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-15.1, -11.65, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-14.8, -11.65, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-15.4, -11.65, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-15.1, -11.65, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-13.9, -11.35, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-13.3, -11.35, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-4.9, -12.85, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-15.4, -11.65, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-4.9, -12.85, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-19.6, -10.45, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-18.4, -10.45, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-13.3, -11.35, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-13.3, -11.35, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-14.2, -11.65, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-14.2, -11.65, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-15.1, -11.65, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-14.8, -11.65, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-13.3, -11.35, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-19.3, -10.45, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-14.8, -11.65, 0.0, NaN)
True: (-19.65, -10.7, 0.0, NaN) - Estimate: (-13.3, -11.65, 0.0, NaN)
True: (-19.65, -10.7, 0.0, NaN) - Estimate: (-12.4, -11.65, 0.0, NaN)
True: (-19.65, -10.7, 0.0, NaN) - Estimate: (-12.4, -11.65, 0.0, NaN)
True: (-19.65, -10.7, 0.0, NaN) - Estimate: (-13.9, -11.65, 0.0, NaN)
True: (-19.65, -10.7, 0.0, NaN) - Estimate: (-13.3, -11.65, 0.0, NaN)
True: (-19.65, -10.7, 0.0, NaN) - Estimate: (-18.7, -10.45, 0.0, NaN)
