True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-23.5, -9.75, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-20.0, -9.25, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-23.0, -9.75, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-22.5, -9.75, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-20.5, -9.75, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-21.5, -10.25, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-17.5, -10.25, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-17.5, -10.25, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-22.0, -9.75, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-23.5, -9.75, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-23.5, -9.75, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-23.0, -9.75, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-22.5, -9.75, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-20.5, -9.75, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-23.5, -9.75, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-22.5, -9.75, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-23.5, -9.75, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-23.5, -9.75, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-23.5, -9.75, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-22.5, -9.75, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-20.0, -9.75, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-23.5, -9.75, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-20.0, -9.75, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-20.5, -9.75, 0.0, NaN)
