True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-21.1, -9.25, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-21.4, -9.25, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-20.2, -9.25, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-9.1, -10.15, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-15.7, -9.85, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-18.4, -9.85, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-22.3, -9.55, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-22.6, -9.85, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-14.2, -10.45, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-10.0, -9.85, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-22.0, -9.25, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-17.5, -9.85, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-17.5, -10.15, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-20.8, -9.55, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-22.3, -9.55, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-20.5, -9.55, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-16.0, -10.45, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-14.5, -11.05, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-22.0, -9.55, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-22.6, -9.85, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-19.3, -9.55, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-22.0, -9.55, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-22.3, -9.55, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-22.9, -9.85, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-19.0, -9.85, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-20.2, -10.45, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-18.4, -10.45, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-20.8, -9.85, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-19.9, -10.45, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-18.4, -10.45, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-20.2, -9.85, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-16.9, -10.15, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-18.4, -10.45, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-21.1, -10.15, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-19.9, -9.85, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-19.3, -9.85, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-18.4, -10.45, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-17.8, -9.85, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-16.9, -10.15, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-21.1, -10.15, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-19.6, -9.85, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-16.6, -9.85, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-19.3, -10.15, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-17.5, -10.15, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-21.1, -10.15, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-21.1, -10.15, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-18.4, -10.45, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-20.8, -9.85, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-18.4, -10.45, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-16.9, -10.15, 0.0, NaN)
True: (-19.65, -10.7, 0.0, NaN) - Estimate: (-16.3, -9.85, 0.0, NaN)
True: (-19.65, -10.7, 0.0, NaN) - Estimate: (-16.9, -10.15, 0.0, NaN)
True: (-19.65, -10.7, 0.0, NaN) - Estimate: (-17.8, -10.75, 0.0, NaN)
True: (-19.65, -10.7, 0.0, NaN) - Estimate: (-15.4, -10.45, 0.0, NaN)
