True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-22.75, -10.75, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-22.75, -10.75, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-23.5, -10.75, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-23.5, -10.75, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-21.25, -10.0, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-22.0, -10.375, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-21.25, -10.0, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-21.25, -10.75, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-23.5, -10.75, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-23.125, -10.75, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-22.75, -10.75, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-21.25, -10.75, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-22.75, -10.75, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-22.75, -10.75, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-23.125, -10.75, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-23.125, -10.75, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-22.75, -10.75, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-21.25, -10.75, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-22.375, -10.75, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-22.375, -10.75, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-22.75, -10.75, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-19.75, -10.75, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-21.25, -10.75, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-20.875, -10.75, 0.0, NaN)
True: (-23.9, -9.65, 0.0, NaN) - Estimate: (-22.375, -10.75, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-23.125, -10.75, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-21.25, -10.75, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-20.5, -10.75, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-20.875, -10.75, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-20.5, -10.75, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-22.375, -10.75, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-22.375, -10.75, 0.0, NaN)
True: (-23.0, -10.55, 0.0, NaN) - Estimate: (-22.375, -10.75, 0.0, NaN)
