Distance(4.3623502839639094), Percent Closer or Equal(69.22)
Distance(2.640549185302179), Percent Closer or Equal(40.96)
Distance(5.59489946290369), Percent Closer or Equal(81.04)
Distance(1.7442763542512407), Percent Closer or Equal(23.74)
Distance(1.056882207249228), Percent Closer or Equal(8.96)
Distance(5.001439792699698), Percent Closer or Equal(76.0)
Distance(3.9220020397750948), Percent Closer or Equal(63.39)
Distance(5.236888389110463), Percent Closer or Equal(78.43)
Distance(14.51948001823757), Percent Closer or Equal(98.52)
Distance(4.3119485154625865), Percent Closer or Equal(68.78)
Distance(4.513590588434002), Percent Closer or Equal(70.7)
Distance(4.642467016576425), Percent Closer or Equal(71.91)
Distance(9.82153246698294), Percent Closer or Equal(95.04)
Distance(19.613877740008476), Percent Closer or Equal(99.04)
Distance(3.181980515339462), Percent Closer or Equal(52.26)
Distance(2.005617112013158), Percent Closer or Equal(28.26)
Distance(2.1272047386182646), Percent Closer or Equal(30.52)
Distance(6.2515598053605785), Percent Closer or Equal(84.7)
Distance(2.1512786895239775), Percent Closer or Equal(31.83)
Distance(6.064189970639113), Percent Closer or Equal(83.65)
Distance(8.36990442000385), Percent Closer or Equal(92.78)
Distance(2.5875084540924687), Percent Closer or Equal(39.22)
Distance(3.2901367752724187), Percent Closer or Equal(52.87)
Distance(3.943513661698157), Percent Closer or Equal(63.83)
Distance(4.147444996621414), Percent Closer or Equal(66.43)
Distance(3.3315611955958437), Percent Closer or Equal(53.83)
Distance(8.968946426420441), Percent Closer or Equal(93.74)
Distance(1.9416487838947585), Percent Closer or Equal(27.22)
Distance(1.9163767896736803), Percent Closer or Equal(26.61)
Distance(3.4677081768799405), Percent Closer or Equal(56.43)
Distance(8.543002984899397), Percent Closer or Equal(93.3)
Distance(2.279034883453959), Percent Closer or Equal(35.13)
Distance(4.0152833025827706), Percent Closer or Equal(64.7)
Distance(1.5628499608087782), Percent Closer or Equal(20.43)
Distance(2.903876719146321), Percent Closer or Equal(47.04)
Distance(4.042190000482413), Percent Closer or Equal(65.04)
Distance(8.523033497528917), Percent Closer or Equal(93.22)
Distance(3.249138347316101), Percent Closer or Equal(52.61)
Distance(2.7722193275424654), Percent Closer or Equal(43.04)
Distance(3.883323319014269), Percent Closer or Equal(62.7)
Distance(0.41231056256176457), Percent Closer or Equal(1.39)
