Distance(0.8967719888578144), Percent Closer or Equal(9.39)
Distance(11.171360704945483), Percent Closer or Equal(93.74)
Distance(3.5721282171837), Percent Closer or Equal(53.13)
Distance(1.9300259065618781), Percent Closer or Equal(30.09)
Distance(8.87693640846886), Percent Closer or Equal(87.83)
Distance(13.210367140999528), Percent Closer or Equal(96.52)
Distance(1.8278129007094792), Percent Closer or Equal(28.61)
Distance(11.488816301081673), Percent Closer or Equal(94.26)
Distance(4.1967249135486595), Percent Closer or Equal(62.26)
Distance(7.002856560004639), Percent Closer or Equal(81.04)
Distance(3.324154027718932), Percent Closer or Equal(51.22)
Distance(10.446171547509643), Percent Closer or Equal(92.43)
Distance(4.116952756590729), Percent Closer or Equal(61.39)
Distance(4.554876507656382), Percent Closer or Equal(65.74)
Distance(4.447752241301218), Percent Closer or Equal(63.91)
Distance(0.43011626335213105), Percent Closer or Equal(1.65)
Distance(3.6513696060519543), Percent Closer or Equal(54.35)
Distance(3.0328864139627782), Percent Closer or Equal(47.83)
Distance(2.9007068104170743), Percent Closer or Equal(45.65)
Distance(5.960914359391519), Percent Closer or Equal(74.26)
Distance(1.011780608630152), Percent Closer or Equal(11.65)
Distance(2.023709465313636), Percent Closer or Equal(31.13)
Distance(1.5572411502397439), Percent Closer or Equal(21.83)
Distance(3.813712102401019), Percent Closer or Equal(57.3)
Distance(3.22704198919072), Percent Closer or Equal(49.65)
Distance(2.2461077445216207), Percent Closer or Equal(34.43)
Distance(0.6802940540677976), Percent Closer or Equal(6.35)
Distance(4.762877281643943), Percent Closer or Equal(67.39)
Distance(30.6926212630984), Percent Closer or Equal(99.91)
Distance(1.6800297616411444), Percent Closer or Equal(24.43)
Distance(1.346291201783626), Percent Closer or Equal(19.13)
Distance(24.885765007328988), Percent Closer or Equal(99.13)
Distance(1.3091982279242516), Percent Closer or Equal(17.65)
Distance(10.39563369881798), Percent Closer or Equal(92.17)
Distance(1.2940247292845684), Percent Closer or Equal(16.43)
Distance(2.8627259736132618), Percent Closer or Equal(45.22)
Distance(10.287020948748964), Percent Closer or Equal(91.83)
Distance(2.978455975837145), Percent Closer or Equal(46.61)
Distance(6.818357573492315), Percent Closer or Equal(80.26)
Distance(5.444722215136416), Percent Closer or Equal(71.13)
Distance(6.128825336065632), Percent Closer or Equal(76.17)
Distance(3.070977043222564), Percent Closer or Equal(48.17)
Distance(7.473285756613352), Percent Closer or Equal(83.74)
Distance(6.509416256470314), Percent Closer or Equal(77.83)
Distance(9.408506789071259), Percent Closer or Equal(88.78)
Distance(4.718580294961612), Percent Closer or Equal(66.96)
Distance(6.005239379075576), Percent Closer or Equal(74.61)
Distance(12.313817442206945), Percent Closer or Equal(95.39)
Distance(3.395585369269929), Percent Closer or Equal(51.65)
Distance(7.930952023559342), Percent Closer or Equal(84.61)
Distance(1.232233744059949), Percent Closer or Equal(16.0)
Distance(6.773662229547618), Percent Closer or Equal(78.52)
Distance(4.812743500333257), Percent Closer or Equal(68.26)
Distance(5.7054798220658), Percent Closer or Equal(72.43)
Distance(8.209750300709516), Percent Closer or Equal(85.57)
Distance(2.537124356431903), Percent Closer or Equal(39.65)
Distance(6.706489394608777), Percent Closer or Equal(78.43)
Distance(9.074827822058113), Percent Closer or Equal(88.52)
Distance(1.2999999999999994), Percent Closer or Equal(16.87)
Distance(1.8122085972646753), Percent Closer or Equal(28.26)
Distance(10.24586745961512), Percent Closer or Equal(91.13)
Distance(2.2737853900489378), Percent Closer or Equal(34.78)
Distance(6.58217289350561), Percent Closer or Equal(78.09)
Distance(9.1849060964171), Percent Closer or Equal(88.61)
Distance(3.7716044331292222), Percent Closer or Equal(57.13)
Distance(1.9180198122021577), Percent Closer or Equal(30.0)
Distance(3.2960127426938146), Percent Closer or Equal(50.61)
Distance(2.6094635464018263), Percent Closer or Equal(40.26)
Distance(3.0504098085339293), Percent Closer or Equal(48.09)
Distance(1.2020815280171306), Percent Closer or Equal(15.48)
Distance(1.8300273222004093), Percent Closer or Equal(28.7)
Distance(7.624099946878975), Percent Closer or Equal(83.91)
Distance(3.318508701209024), Percent Closer or Equal(51.04)
Distance(6.092626691337653), Percent Closer or Equal(76.0)
Distance(7.454830648646554), Percent Closer or Equal(83.04)
Distance(1.2020815280171293), Percent Closer or Equal(15.3)
Distance(2.596150997149434), Percent Closer or Equal(40.09)
Distance(5.144171459039833), Percent Closer or Equal(70.17)
Distance(2.0402205763103147), Percent Closer or Equal(31.39)
Distance(0.8453401682163225), Percent Closer or Equal(8.43)
Distance(2.040220576310316), Percent Closer or Equal(31.48)
Distance(1.9990497742677644), Percent Closer or Equal(30.96)
Distance(1.2248265183282079), Percent Closer or Equal(15.91)
Distance(1.0062305898749038), Percent Closer or Equal(11.39)
Distance(4.914560000651127), Percent Closer or Equal(68.61)
Distance(3.677635109686659), Percent Closer or Equal(55.3)
Distance(7.200694410957877), Percent Closer or Equal(81.91)
Distance(9.99884993386739), Percent Closer or Equal(90.87)
Distance(0.8902246907382432), Percent Closer or Equal(9.13)
Distance(1.5652475842498512), Percent Closer or Equal(21.91)
Distance(1.9659603251337492), Percent Closer or Equal(30.7)
Distance(10.15332457867865), Percent Closer or Equal(91.04)
Distance(7.02157389763862), Percent Closer or Equal(81.22)
Distance(5.067938436879438), Percent Closer or Equal(69.65)
Distance(1.5720368952413304), Percent Closer or Equal(22.0)
Distance(4.008615721168593), Percent Closer or Equal(59.39)
Distance(3.0193542355940948), Percent Closer or Equal(47.13)
Distance(2.057668583615933), Percent Closer or Equal(31.65)
Distance(1.7327723451163453), Percent Closer or Equal(25.39)
Distance(2.270022026324855), Percent Closer or Equal(34.7)
Distance(2.3031283073246276), Percent Closer or Equal(35.74)
Distance(13.494980548337223), Percent Closer or Equal(96.78)
Distance(2.227666940994547), Percent Closer or Equal(34.35)
Distance(5.15097078228949), Percent Closer or Equal(70.26)
Distance(0.7500000000000008), Percent Closer or Equal(7.22)
Distance(2.204450044795753), Percent Closer or Equal(34.17)
Distance(11.36729079420422), Percent Closer or Equal(94.09)
Distance(0.9708243919473805), Percent Closer or Equal(10.61)
Distance(1.7098830369355678), Percent Closer or Equal(24.61)
Distance(5.8502136713115025), Percent Closer or Equal(73.83)
Distance(0.914002188181188), Percent Closer or Equal(9.48)
Distance(2.7459060435491955), Percent Closer or Equal(42.0)
Distance(4.8166378315169185), Percent Closer or Equal(68.35)
Distance(0.452769256906871), Percent Closer or Equal(1.91)
Distance(2.80044639298809), Percent Closer or Equal(43.83)
Distance(4.356604182158393), Percent Closer or Equal(63.39)
Distance(4.108235631022154), Percent Closer or Equal(61.13)
Distance(6.1030238406874995), Percent Closer or Equal(76.09)
Distance(2.122498527679113), Percent Closer or Equal(32.7)
Distance(3.740655022853617), Percent Closer or Equal(56.7)
Distance(3.7606515392947544), Percent Closer or Equal(56.87)
Distance(8.626702730475879), Percent Closer or Equal(87.13)
Distance(3.851298482330342), Percent Closer or Equal(57.57)
Distance(4.700042552998855), Percent Closer or Equal(66.87)
Distance(2.880555501982213), Percent Closer or Equal(45.3)
Distance(20.4307244120222), Percent Closer or Equal(98.61)
Distance(0.20615528128088234), Percent Closer or Equal(0.09)
Distance(5.300943312279429), Percent Closer or Equal(70.61)
Distance(0.7969943538068509), Percent Closer or Equal(7.57)
Distance(6.814169061595112), Percent Closer or Equal(80.09)
Distance(5.2117655357853545), Percent Closer or Equal(70.52)
Distance(5.211765535785354), Percent Closer or Equal(70.43)
Distance(0.6016643582596521), Percent Closer or Equal(4.17)
Distance(10.858420695478694), Percent Closer or Equal(93.3)
Distance(9.803188256888674), Percent Closer or Equal(90.26)
Distance(3.2202484376209237), Percent Closer or Equal(49.57)
Distance(1.3009611831257695), Percent Closer or Equal(17.04)
Distance(2.07444570909918), Percent Closer or Equal(31.91)
Distance(0.5503635162326804), Percent Closer or Equal(3.3)
Distance(5.751252037600161), Percent Closer or Equal(73.13)
Distance(7.866701977321881), Percent Closer or Equal(84.43)
Distance(8.031344843797955), Percent Closer or Equal(84.78)
Distance(2.31164443632666), Percent Closer or Equal(36.09)
Distance(5.850170937673531), Percent Closer or Equal(73.74)
Distance(6.852919086053767), Percent Closer or Equal(80.35)
Distance(14.287452537104016), Percent Closer or Equal(97.48)
Distance(8.321466216959605), Percent Closer or Equal(86.87)
Distance(7.687977627438832), Percent Closer or Equal(84.0)
Distance(12.489247375242435), Percent Closer or Equal(95.74)
Distance(1.096585609973066), Percent Closer or Equal(13.04)
Distance(4.061095911204266), Percent Closer or Equal(60.7)
Distance(0.43908996800200234), Percent Closer or Equal(1.74)
Distance(2.724646766096479), Percent Closer or Equal(41.91)
Distance(1.4358969322343447), Percent Closer or Equal(20.0)
Distance(1.7613914953808536), Percent Closer or Equal(26.09)
Distance(7.458216945088149), Percent Closer or Equal(83.22)
Distance(7.274957044546723), Percent Closer or Equal(82.0)
Distance(2.3795167576632035), Percent Closer or Equal(37.83)
Distance(3.7297721110008855), Percent Closer or Equal(56.35)
Distance(0.9284934033152844), Percent Closer or Equal(10.09)
Distance(4.767598976424086), Percent Closer or Equal(67.65)
Distance(11.56730737898842), Percent Closer or Equal(94.43)
Distance(10.488684378891378), Percent Closer or Equal(92.52)
Distance(5.998541489395568), Percent Closer or Equal(74.52)
Distance(3.12835419989489), Percent Closer or Equal(48.78)
Distance(1.1921828718783043), Percent Closer or Equal(14.78)
Distance(2.5243811122728674), Percent Closer or Equal(39.22)
Distance(1.1921828718783039), Percent Closer or Equal(14.7)
Distance(4.0517650474823945), Percent Closer or Equal(60.43)
Distance(4.477722635447622), Percent Closer or Equal(64.52)
Distance(26.11784256021159), Percent Closer or Equal(99.65)
Distance(8.769241700398046), Percent Closer or Equal(87.3)
Distance(1.7216852209390663), Percent Closer or Equal(25.13)
Distance(1.7951323071016243), Percent Closer or Equal(26.7)
Distance(1.298075498574717), Percent Closer or Equal(16.52)
Distance(0.8514693182963214), Percent Closer or Equal(8.7)
Distance(6.575545604738819), Percent Closer or Equal(78.0)
Distance(2.478144467136652), Percent Closer or Equal(38.7)
Distance(6.888396039717809), Percent Closer or Equal(80.7)
Distance(2.41919408068059), Percent Closer or Equal(38.35)
Distance(9.911458015852155), Percent Closer or Equal(90.35)
Distance(4.276493891028023), Percent Closer or Equal(62.7)
Distance(4.110048661512415), Percent Closer or Equal(61.22)
Distance(3.59213028716944), Percent Closer or Equal(53.74)
Distance(0.39000000000000057), Percent Closer or Equal(0.61)
Distance(6.07556581727167), Percent Closer or Equal(75.65)
Distance(1.1819052415485776), Percent Closer or Equal(14.26)
Distance(2.142545215392199), Percent Closer or Equal(32.96)
Distance(3.4179672321425185), Percent Closer or Equal(51.74)
Distance(4.697073557013984), Percent Closer or Equal(66.7)
Distance(0.7424284477308236), Percent Closer or Equal(6.7)
Distance(2.950254226333724), Percent Closer or Equal(46.52)
Distance(0.6020797289396151), Percent Closer or Equal(4.35)
Distance(2.3119256043393785), Percent Closer or Equal(36.17)
Distance(0.6041522986797292), Percent Closer or Equal(4.78)
Distance(6.014790104400984), Percent Closer or Equal(74.7)
Distance(8.833051567833168), Percent Closer or Equal(87.48)
Distance(2.1900228309312215), Percent Closer or Equal(33.65)
Distance(0.9338094023942995), Percent Closer or Equal(10.26)
Distance(5.112973694436537), Percent Closer or Equal(70.0)
Distance(1.4764823060233407), Percent Closer or Equal(20.7)
Distance(3.5457157246457314), Percent Closer or Equal(52.7)
Distance(18.99617066674228), Percent Closer or Equal(98.43)
Distance(1.5435349040433137), Percent Closer or Equal(21.3)
Distance(1.3928388277184127), Percent Closer or Equal(19.39)
Distance(1.6101242188104614), Percent Closer or Equal(22.78)
Distance(2.1488834309938727), Percent Closer or Equal(33.13)
Distance(4.463742824133129), Percent Closer or Equal(64.17)
Distance(1.1016805344563367), Percent Closer or Equal(13.22)
