Distance(5.767399760724065), Percent Closer or Equal(51.04)
Distance(8.982226895375112), Percent Closer or Equal(68.09)
Distance(9.766498860901995), Percent Closer or Equal(70.52)
Distance(1.168460525649027), Percent Closer or Equal(5.3)
Distance(4.62709412050371), Percent Closer or Equal(41.48)
Distance(2.8692333470807134), Percent Closer or Equal(19.74)
Distance(3.8832975677895196), Percent Closer or Equal(33.39)
Distance(4.352298243457128), Percent Closer or Equal(36.09)
Distance(5.434786104346702), Percent Closer or Equal(48.87)
Distance(3.3913566606890515), Percent Closer or Equal(27.39)
Distance(6.060528029800704), Percent Closer or Equal(51.74)
Distance(4.897193073588175), Percent Closer or Equal(44.96)
Distance(7.19200945494373), Percent Closer or Equal(59.22)
Distance(0.3244996147917589), Percent Closer or Equal(0.26)
Distance(7.487656509215683), Percent Closer or Equal(59.91)
Distance(5.258840176312645), Percent Closer or Equal(48.17)
Distance(1.5788920165736477), Percent Closer or Equal(7.83)
Distance(23.360946042487235), Percent Closer or Equal(91.04)
Distance(7.091805129866443), Percent Closer or Equal(58.87)
Distance(3.7165171868296265), Percent Closer or Equal(32.52)
Distance(5.559901078256699), Percent Closer or Equal(49.74)
Distance(1.011780608630152), Percent Closer or Equal(3.65)
Distance(8.307376240426336), Percent Closer or Equal(67.04)
Distance(9.185450451665394), Percent Closer or Equal(69.65)
Distance(18.177783830819422), Percent Closer or Equal(86.61)
Distance(13.800090579412876), Percent Closer or Equal(80.96)
Distance(5.228852646613786), Percent Closer or Equal(47.74)
Distance(3.7676517885813174), Percent Closer or Equal(32.7)
Distance(2.6129676614914312), Percent Closer or Equal(15.13)
Distance(9.834347970252018), Percent Closer or Equal(71.13)
Distance(30.617375785654787), Percent Closer or Equal(96.43)
Distance(2.46969633760914), Percent Closer or Equal(13.83)
Distance(2.2677080940897136), Percent Closer or Equal(11.48)
Distance(6.289077833832239), Percent Closer or Equal(53.22)
Distance(6.882041848172678), Percent Closer or Equal(58.35)
