Distance(1.549870962370739), Percent Closer or Equal(8.26)
Distance(9.035070558661953), Percent Closer or Equal(72.78)
Distance(3.6655422518366914), Percent Closer or Equal(31.83)
Distance(6.0601155104502755), Percent Closer or Equal(54.61)
Distance(9.254150420216867), Percent Closer or Equal(73.22)
Distance(5.308898190773675), Percent Closer or Equal(49.74)
Distance(0.5700877125495692), Percent Closer or Equal(2.0)
Distance(5.851230639788522), Percent Closer or Equal(53.57)
Distance(5.236888389110463), Percent Closer or Equal(48.87)
Distance(4.781736086402092), Percent Closer or Equal(45.83)
Distance(0.6499999999999997), Percent Closer or Equal(2.26)
Distance(7.212835780745322), Percent Closer or Equal(62.09)
Distance(14.995792743299702), Percent Closer or Equal(94.26)
Distance(4.320300915445589), Percent Closer or Equal(41.22)
Distance(4.983251950283068), Percent Closer or Equal(47.83)
Distance(13.42693189079322), Percent Closer or Equal(88.35)
Distance(13.658773737052678), Percent Closer or Equal(88.87)
Distance(4.3119485154625865), Percent Closer or Equal(40.96)
Distance(7.045565981523415), Percent Closer or Equal(61.22)
Distance(4.645696933722646), Percent Closer or Equal(44.52)
Distance(1.7596022277776309), Percent Closer or Equal(10.09)
Distance(3.706237984803459), Percent Closer or Equal(32.78)
Distance(3.4731541860389674), Percent Closer or Equal(29.48)
Distance(3.181980515339462), Percent Closer or Equal(24.78)
Distance(16.4995302963448), Percent Closer or Equal(96.43)
Distance(3.903229432149742), Percent Closer or Equal(34.87)
Distance(0.6099999999999994), Percent Closer or Equal(2.09)
Distance(3.514541221838207), Percent Closer or Equal(30.09)
Distance(1.7804493814764843), Percent Closer or Equal(10.52)
Distance(2.675256997000475), Percent Closer or Equal(20.17)
Distance(12.158330477495666), Percent Closer or Equal(83.83)
Distance(12.176308964542581), Percent Closer or Equal(84.0)
Distance(0.4924428900898049), Percent Closer or Equal(1.91)
Distance(6.539755347105884), Percent Closer or Equal(57.04)
Distance(3.704753703014547), Percent Closer or Equal(32.7)
Distance(4.162030754331352), Percent Closer or Equal(39.13)
Distance(2.287378412069153), Percent Closer or Equal(14.96)
Distance(4.8789445579961255), Percent Closer or Equal(46.87)
Distance(1.115437134042076), Percent Closer or Equal(5.22)
Distance(5.607361233236182), Percent Closer or Equal(52.43)
Distance(5.723006203037002), Percent Closer or Equal(52.87)
Distance(4.166881327803805), Percent Closer or Equal(39.22)
Distance(5.81172951882656), Percent Closer or Equal(53.22)
Distance(2.0692993983471792), Percent Closer or Equal(13.04)
Distance(13.036138231853787), Percent Closer or Equal(87.91)
Distance(10.601004669369786), Percent Closer or Equal(79.57)
Distance(7.9304224351543855), Percent Closer or Equal(65.3)
Distance(4.088275920238261), Percent Closer or Equal(38.35)
Distance(7.555957914123133), Percent Closer or Equal(63.04)
Distance(4.295637321748661), Percent Closer or Equal(40.87)
Distance(1.6344112089679266), Percent Closer or Equal(9.04)
Distance(5.875542528141549), Percent Closer or Equal(53.65)
Distance(3.367862823809782), Percent Closer or Equal(26.78)
Distance(4.45701693961331), Percent Closer or Equal(42.26)
Distance(9.213083088738536), Percent Closer or Equal(73.13)
Distance(3.4677081768799387), Percent Closer or Equal(29.39)
Distance(6.467456996378097), Percent Closer or Equal(56.87)
Distance(10.967538465854586), Percent Closer or Equal(80.7)
Distance(1.9163767896736803), Percent Closer or Equal(11.91)
Distance(5.408807632001714), Percent Closer or Equal(50.0)
Distance(4.551505245520431), Percent Closer or Equal(43.13)
Distance(8.638825151604818), Percent Closer or Equal(69.91)
Distance(7.1206881689904105), Percent Closer or Equal(61.48)
Distance(2.3505318547086302), Percent Closer or Equal(16.52)
Distance(4.0152833025827706), Percent Closer or Equal(37.65)
Distance(1.337946187258666), Percent Closer or Equal(6.78)
Distance(0.18110770276274804), Percent Closer or Equal(0.0)
Distance(1.231665539016173), Percent Closer or Equal(5.48)
Distance(2.3505318547086334), Percent Closer or Equal(16.61)
Distance(10.505208232110393), Percent Closer or Equal(79.39)
Distance(2.8160255680657453), Percent Closer or Equal(21.22)
Distance(6.650330818839015), Percent Closer or Equal(58.0)
Distance(13.053830855346641), Percent Closer or Equal(88.0)
Distance(3.6073397400300404), Percent Closer or Equal(31.48)
Distance(4.695125131452835), Percent Closer or Equal(44.96)
Distance(9.450761874050153), Percent Closer or Equal(75.74)
Distance(5.66259657754285), Percent Closer or Equal(52.52)
Distance(19.33363907804219), Percent Closer or Equal(96.96)
Distance(9.851035478567724), Percent Closer or Equal(77.57)
Distance(16.022774416436125), Percent Closer or Equal(94.78)
Distance(4.68295846661061), Percent Closer or Equal(44.87)
Distance(7.52811397363244), Percent Closer or Equal(62.61)
Distance(2.770415131347647), Percent Closer or Equal(20.78)
Distance(11.552112360949403), Percent Closer or Equal(83.13)
Distance(5.261653732430518), Percent Closer or Equal(48.96)
