Distance(7.973589216908532), Percent Closer or Equal(94.52)
Distance(1.9166898549321953), Percent Closer or Equal(27.3)
Distance(5.135060856504039), Percent Closer or Equal(78.17)
Distance(7.023620861065894), Percent Closer or Equal(91.39)
Distance(4.924919415584381), Percent Closer or Equal(76.26)
Distance(1.7962530445346503), Percent Closer or Equal(24.17)
Distance(5.0395337085885235), Percent Closer or Equal(77.57)
Distance(4.657923357033689), Percent Closer or Equal(73.83)
Distance(1.83352801996588), Percent Closer or Equal(25.13)
Distance(2.5706273553356582), Percent Closer or Equal(41.04)
Distance(5.132964543029691), Percent Closer or Equal(78.09)
Distance(6.784034566539294), Percent Closer or Equal(90.52)
Distance(0.046097722286464325), Percent Closer or Equal(0.09)
Distance(0.8833176099229538), Percent Closer or Equal(7.39)
Distance(13.26906011177883), Percent Closer or Equal(98.52)
Distance(1.1710038428630367), Percent Closer or Equal(12.0)
Distance(2.264563975691568), Percent Closer or Equal(34.35)
Distance(0.977880360780396), Percent Closer or Equal(9.3)
Distance(4.337193793226215), Percent Closer or Equal(71.48)
Distance(2.459862801052124), Percent Closer or Equal(38.61)
Distance(3.9153575826481033), Percent Closer or Equal(65.13)
Distance(0.9313565375300705), Percent Closer or Equal(8.87)
Distance(3.9294560692289218), Percent Closer or Equal(65.22)
Distance(4.938628352083199), Percent Closer or Equal(76.52)
Distance(5.97675915526132), Percent Closer or Equal(84.43)
Distance(1.8088463174078668), Percent Closer or Equal(24.35)
Distance(1.8748666619255883), Percent Closer or Equal(26.0)
Distance(3.285700077609032), Percent Closer or Equal(56.43)
Distance(3.1261197993679004), Percent Closer or Equal(53.74)
Distance(6.813681090277118), Percent Closer or Equal(90.78)
Distance(3.6664867380095623), Percent Closer or Equal(61.65)
Distance(3.804556478750184), Percent Closer or Equal(63.91)
Distance(1.8764128010648407), Percent Closer or Equal(26.26)
Distance(2.1623193566168712), Percent Closer or Equal(32.26)
Distance(2.4595375581600702), Percent Closer or Equal(38.43)
Distance(8.776573932919382), Percent Closer or Equal(95.74)
Distance(5.98922574294875), Percent Closer or Equal(84.78)
Distance(1.3752272539475068), Percent Closer or Equal(16.43)
Distance(14.485417667433687), Percent Closer or Equal(99.39)
Distance(3.9869317776957254), Percent Closer or Equal(66.09)
Distance(1.077032961426901), Percent Closer or Equal(10.87)
Distance(3.0301691371935), Percent Closer or Equal(52.09)
Distance(4.885447778863264), Percent Closer or Equal(75.83)
Distance(5.055009891187158), Percent Closer or Equal(77.65)
Distance(11.321759194135865), Percent Closer or Equal(97.57)
Distance(2.5600048828078443), Percent Closer or Equal(40.87)
Distance(3.587702084900584), Percent Closer or Equal(60.26)
Distance(5.5182175564216385), Percent Closer or Equal(81.13)
Distance(3.58413518160239), Percent Closer or Equal(60.17)
Distance(3.8940499483185893), Percent Closer or Equal(64.96)
