107: Distance(23.452106515193897), Percent Closer or Equal(90.87)
108: Distance(23.452106515193897), Percent Closer or Equal(90.87)
109: Distance(23.395753888259296), Percent Closer or Equal(90.52)
110: Distance(23.395753888259296), Percent Closer or Equal(90.52)
111: Distance(21.514144184698587), Percent Closer or Equal(90.35)
112: Distance(21.514144184698587), Percent Closer or Equal(90.35)
113: Distance(21.514144184698587), Percent Closer or Equal(90.35)
114: Distance(21.514144184698587), Percent Closer or Equal(90.35)
115: Distance(21.514144184698587), Percent Closer or Equal(90.35)
116: Distance(21.514144184698587), Percent Closer or Equal(90.35)
117: Distance(21.514144184698587), Percent Closer or Equal(90.35)
118: Distance(21.514144184698587), Percent Closer or Equal(90.35)
119: Distance(21.514144184698587), Percent Closer or Equal(90.35)
120: Distance(21.514144184698587), Percent Closer or Equal(90.35)
121: Distance(21.51205243578585), Percent Closer or Equal(89.48)
122: Distance(21.51205243578585), Percent Closer or Equal(89.48)
123: Distance(21.51205243578585), Percent Closer or Equal(89.48)
124: Distance(21.51205243578585), Percent Closer or Equal(89.48)
125: Distance(21.51205243578585), Percent Closer or Equal(89.48)
126: Distance(21.51205243578585), Percent Closer or Equal(89.48)
127: Distance(21.51205243578585), Percent Closer or Equal(89.48)
128: Distance(21.51205243578585), Percent Closer or Equal(89.48)
129: Distance(21.51205243578585), Percent Closer or Equal(89.48)
130: Distance(21.51205243578585), Percent Closer or Equal(89.48)
131: Distance(21.51205243578585), Percent Closer or Equal(89.48)
132: Distance(21.51205243578585), Percent Closer or Equal(89.48)
133: Distance(21.51205243578585), Percent Closer or Equal(89.48)
134: Distance(21.51205243578585), Percent Closer or Equal(89.48)
135: Distance(21.51205243578585), Percent Closer or Equal(89.48)
136: Distance(20.5004780432067), Percent Closer or Equal(88.17)
137: Distance(20.5004780432067), Percent Closer or Equal(88.17)
138: Distance(20.5004780432067), Percent Closer or Equal(88.17)
139: Distance(20.5004780432067), Percent Closer or Equal(88.17)
140: Distance(20.5004780432067), Percent Closer or Equal(88.17)
141: Distance(20.5004780432067), Percent Closer or Equal(88.17)
142: Distance(20.5004780432067), Percent Closer or Equal(88.17)
143: Distance(20.5004780432067), Percent Closer or Equal(88.17)
144: Distance(20.5004780432067), Percent Closer or Equal(88.17)
145: Distance(20.5004780432067), Percent Closer or Equal(88.17)
146: Distance(20.5004780432067), Percent Closer or Equal(88.17)
147: Distance(20.5004780432067), Percent Closer or Equal(88.17)
148: Distance(20.5004780432067), Percent Closer or Equal(88.17)
149: Distance(20.5004780432067), Percent Closer or Equal(88.17)
150: Distance(20.5004780432067), Percent Closer or Equal(88.17)
151: Distance(20.5004780432067), Percent Closer or Equal(88.17)
152: Distance(20.5004780432067), Percent Closer or Equal(88.17)
153: Distance(20.5004780432067), Percent Closer or Equal(88.17)
154: Distance(20.5004780432067), Percent Closer or Equal(88.17)
155: Distance(20.5004780432067), Percent Closer or Equal(88.17)
156: Distance(20.5004780432067), Percent Closer or Equal(88.17)
157: Distance(20.5004780432067), Percent Closer or Equal(88.17)
158: Distance(20.5004780432067), Percent Closer or Equal(88.17)
159: Distance(20.5004780432067), Percent Closer or Equal(88.17)
160: Distance(20.384749201302427), Percent Closer or Equal(86.09)
161: Distance(20.384749201302427), Percent Closer or Equal(86.09)
162: Distance(20.384749201302427), Percent Closer or Equal(86.09)
163: Distance(20.384749201302427), Percent Closer or Equal(86.09)
164: Distance(20.384749201302427), Percent Closer or Equal(86.09)
165: Distance(20.384749201302427), Percent Closer or Equal(86.09)
166: Distance(20.384749201302427), Percent Closer or Equal(86.09)
167: Distance(20.384749201302427), Percent Closer or Equal(86.09)
168: Distance(20.384749201302427), Percent Closer or Equal(86.09)
169: Distance(20.384749201302427), Percent Closer or Equal(86.09)
170: Distance(20.384749201302427), Percent Closer or Equal(86.09)
171: Distance(20.384749201302427), Percent Closer or Equal(86.09)
172: Distance(20.384749201302427), Percent Closer or Equal(86.09)
173: Distance(20.384749201302427), Percent Closer or Equal(86.09)
174: Distance(20.384749201302427), Percent Closer or Equal(86.09)
175: Distance(20.384749201302427), Percent Closer or Equal(86.09)
176: Distance(20.384749201302427), Percent Closer or Equal(86.09)
177: Distance(20.384749201302427), Percent Closer or Equal(86.09)
178: Distance(20.384749201302427), Percent Closer or Equal(86.09)
179: Distance(20.384749201302427), Percent Closer or Equal(86.09)
180: Distance(20.384749201302427), Percent Closer or Equal(86.09)
181: Distance(20.384749201302427), Percent Closer or Equal(86.09)
182: Distance(20.384749201302427), Percent Closer or Equal(86.09)
183: Distance(19.909324448609503), Percent Closer or Equal(84.09)
184: Distance(19.909324448609503), Percent Closer or Equal(84.09)
185: Distance(19.909324448609503), Percent Closer or Equal(84.09)
186: Distance(19.909324448609503), Percent Closer or Equal(84.09)
187: Distance(19.909324448609503), Percent Closer or Equal(84.09)
188: Distance(19.909324448609503), Percent Closer or Equal(84.09)
189: Distance(19.909324448609503), Percent Closer or Equal(84.09)
190: Distance(19.909324448609503), Percent Closer or Equal(84.09)
191: Distance(19.909324448609503), Percent Closer or Equal(84.09)
192: Distance(19.909324448609503), Percent Closer or Equal(84.09)
193: Distance(19.909324448609503), Percent Closer or Equal(84.09)
194: Distance(19.909324448609503), Percent Closer or Equal(84.09)
195: Distance(19.909324448609503), Percent Closer or Equal(84.09)
196: Distance(19.909324448609503), Percent Closer or Equal(84.09)
197: Distance(19.909324448609503), Percent Closer or Equal(84.09)
