Distance(5.441866063217653), Percent Closer or Equal(56.26)
Distance(6.2181689427033096), Percent Closer or Equal(65.83)
Distance(10.510114176354127), Percent Closer or Equal(89.57)
Distance(5.0395337085885235), Percent Closer or Equal(51.39)
Distance(3.89610703138402), Percent Closer or Equal(39.91)
Distance(1.1884864324004716), Percent Closer or Equal(6.35)
Distance(3.128597928785353), Percent Closer or Equal(27.39)
Distance(9.437780790524858), Percent Closer or Equal(84.52)
Distance(7.846942079561948), Percent Closer or Equal(76.52)
Distance(4.48567163310022), Percent Closer or Equal(45.22)
Distance(3.024516490284025), Percent Closer or Equal(26.0)
Distance(9.01933617291206), Percent Closer or Equal(82.78)
Distance(3.700608058143958), Percent Closer or Equal(33.83)
Distance(5.210626161988595), Percent Closer or Equal(53.04)
Distance(3.2622883073082303), Percent Closer or Equal(28.96)
Distance(3.613492078308738), Percent Closer or Equal(33.13)
Distance(3.0190105995176624), Percent Closer or Equal(25.83)
Distance(1.1980818002123228), Percent Closer or Equal(6.43)
Distance(6.57083898752663), Percent Closer or Equal(67.91)
Distance(1.3803260484392808), Percent Closer or Equal(8.0)
Distance(6.032920105554191), Percent Closer or Equal(63.48)
Distance(0.977880360780396), Percent Closer or Equal(4.87)
Distance(13.493305747666138), Percent Closer or Equal(94.17)
Distance(2.0328935658317184), Percent Closer or Equal(15.48)
Distance(7.862168911947898), Percent Closer or Equal(76.7)
Distance(5.438237306333735), Percent Closer or Equal(56.09)
Distance(4.4418464629025625), Percent Closer or Equal(44.96)
Distance(6.8406432446079215), Percent Closer or Equal(70.26)
Distance(6.539755347105884), Percent Closer or Equal(67.65)
Distance(4.162030754331352), Percent Closer or Equal(42.61)
Distance(1.4794762586807533), Percent Closer or Equal(9.04)
Distance(2.2958331820931597), Percent Closer or Equal(17.74)
Distance(1.504160895649133), Percent Closer or Equal(9.65)
Distance(3.301514803843836), Percent Closer or Equal(29.57)
Distance(4.166881327803805), Percent Closer or Equal(42.7)
Distance(3.051167809216661), Percent Closer or Equal(26.61)
Distance(1.677647161950331), Percent Closer or Equal(11.39)
Distance(9.44579933091954), Percent Closer or Equal(84.7)
Distance(3.2344396732664533), Percent Closer or Equal(28.43)
Distance(4.083833982913605), Percent Closer or Equal(41.39)
Distance(13.121830093397797), Percent Closer or Equal(93.74)
Distance(8.464930596289612), Percent Closer or Equal(80.0)
Distance(3.2901367752724204), Percent Closer or Equal(29.3)
Distance(4.44882006828777), Percent Closer or Equal(45.04)
Distance(8.785764053285291), Percent Closer or Equal(81.3)
Distance(7.107814361672652), Percent Closer or Equal(71.04)
Distance(0.42297310789221576), Percent Closer or Equal(1.13)
Distance(1.4177535046685654), Percent Closer or Equal(8.26)
Distance(3.271154230543097), Percent Closer or Equal(29.13)
Distance(4.594458618814627), Percent Closer or Equal(45.83)
Distance(3.642433939002875), Percent Closer or Equal(33.39)
Distance(5.8610323322773095), Percent Closer or Equal(61.13)
Distance(0.9292604586443997), Percent Closer or Equal(4.52)
Distance(0.11768602295939848), Percent Closer or Equal(0.0)
Distance(6.704103221162395), Percent Closer or Equal(68.26)
Distance(16.335924369315624), Percent Closer or Equal(96.35)
Distance(3.2187924754478954), Percent Closer or Equal(28.35)
Distance(3.7687033579203346), Percent Closer or Equal(34.7)
Distance(8.773998518349545), Percent Closer or Equal(80.96)
Distance(4.719176305246498), Percent Closer or Equal(47.48)
Distance(4.826491997299902), Percent Closer or Equal(49.04)
Distance(4.437623237725348), Percent Closer or Equal(44.78)
Distance(7.240994406847721), Percent Closer or Equal(72.52)
Distance(0.8678277478854889), Percent Closer or Equal(4.17)
Distance(1.4999999999999984), Percent Closer or Equal(9.13)
Distance(8.11307124337017), Percent Closer or Equal(78.43)
Distance(9.398672778642739), Percent Closer or Equal(84.43)
Distance(1.4390013898533947), Percent Closer or Equal(8.43)
Distance(2.279034883453959), Percent Closer or Equal(16.87)
Distance(2.3876308864646565), Percent Closer or Equal(18.43)
Distance(4.939233240088992), Percent Closer or Equal(50.52)
Distance(2.283549868078208), Percent Closer or Equal(17.57)
Distance(1.3997856978837868), Percent Closer or Equal(8.17)
Distance(8.14499232657711), Percent Closer or Equal(78.61)
Distance(2.4867649667791287), Percent Closer or Equal(18.96)
Distance(7.242280372921225), Percent Closer or Equal(73.74)
Distance(6.550190836914601), Percent Closer or Equal(67.83)
Distance(9.216616787086247), Percent Closer or Equal(83.91)
Distance(3.8955904558872714), Percent Closer or Equal(39.65)
Distance(7.948441671170521), Percent Closer or Equal(78.09)
Distance(4.752367830881781), Percent Closer or Equal(48.43)
Distance(4.257643127365186), Percent Closer or Equal(43.57)
Distance(6.800000000000001), Percent Closer or Equal(69.57)
Distance(5.020363532653786), Percent Closer or Equal(51.13)
Distance(2.5481917608374767), Percent Closer or Equal(19.57)
Distance(0.8750571409913753), Percent Closer or Equal(4.35)
Distance(2.281035948861831), Percent Closer or Equal(17.48)
Distance(5.708303162937302), Percent Closer or Equal(60.0)
Distance(2.759189192498405), Percent Closer or Equal(21.91)
Distance(6.25383482353028), Percent Closer or Equal(66.17)
Distance(4.870382428516265), Percent Closer or Equal(49.74)
Distance(3.004534073695954), Percent Closer or Equal(24.7)
Distance(7.744966107091753), Percent Closer or Equal(75.91)
Distance(6.0225991066980376), Percent Closer or Equal(63.39)
Distance(4.61767257392726), Percent Closer or Equal(46.43)
Distance(2.0014057559625433), Percent Closer or Equal(15.13)
Distance(20.950100387587643), Percent Closer or Equal(99.48)
Distance(2.5650194931033177), Percent Closer or Equal(19.83)
Distance(9.307684996818487), Percent Closer or Equal(84.09)
Distance(6.355045239807503), Percent Closer or Equal(66.61)
Distance(1.5186342548487424), Percent Closer or Equal(9.91)
Distance(5.636907396791258), Percent Closer or Equal(58.78)
Distance(3.873306081372863), Percent Closer or Equal(39.22)
Distance(2.920757607197146), Percent Closer or Equal(23.83)
Distance(3.008841139043403), Percent Closer or Equal(24.87)
Distance(6.513313288949027), Percent Closer or Equal(67.39)
Distance(3.084867298604593), Percent Closer or Equal(27.13)
Distance(5.233822694742344), Percent Closer or Equal(53.48)
Distance(9.5755221789728), Percent Closer or Equal(85.22)
Distance(0.6490377492873587), Percent Closer or Equal(2.26)
Distance(7.42050200458163), Percent Closer or Equal(75.22)
Distance(3.6230166988298573), Percent Closer or Equal(33.22)
Distance(0.940810820516006), Percent Closer or Equal(4.7)
Distance(5.495736984245153), Percent Closer or Equal(58.0)
Distance(3.8832975677895196), Percent Closer or Equal(39.48)
Distance(3.3913566606890515), Percent Closer or Equal(30.61)
Distance(7.022166688423168), Percent Closer or Equal(70.7)
Distance(10.080923816793776), Percent Closer or Equal(88.43)
Distance(3.438059045449918), Percent Closer or Equal(31.13)
Distance(1.6703966594794182), Percent Closer or Equal(11.13)
Distance(1.3894693231590254), Percent Closer or Equal(8.09)
Distance(4.887333117355518), Percent Closer or Equal(50.17)
Distance(4.826036158173702), Percent Closer or Equal(48.96)
Distance(3.7622333792575917), Percent Closer or Equal(34.61)
Distance(16.41624348016318), Percent Closer or Equal(96.43)
